1 9801666
10 11386875
20 23130250
30 36564875
40 47727458
50 58359958
60 70447500
70 84446916
80 93801750
90 106124375
100 119029750
110 129536541
120 147174791
130 154257625
140 174573916
150 192325541
160 194480625
170 206233000
180 214591541
190 239929750
200 236358375
300 348233916
400 495046791
500 579896000
600 689094875
700 830684375
800 957190833
900 1058149291
1000 1154518791
1100 1325087916
1200 1502792333
1300 1610584958
1400 1712165458
1500 1838840458
1600 1881089500
1700 2023251583
1800 2209685583
1900 2241094458
2000 2351564083
