1 2509331
10 2564859
20 5002341
30 7865777
40 10073982
50 12128759
60 14693754
70 17792025
80 19538636
90 21980148
100 24423023
110 26545671
120 30144030
130 31522690
140 35732386
150 39585595
160 39812006
170 42203541
180 44053474
190 49793400
200 48356499
300 74601183
400 105393510
500 123044026
600 145506335
700 176345850
800 200698466
900 221478860
1000 239238872
1100 276518348
1200 321194002
1300 340475242
1400 360182556
1500 387822458
1600 393044377
1700 428264745
1800 469067124
1900 469026116
2000 486510753
