1 1.104439
10 92.290911
20 180.087087
30 255.700284
40 344.687076
50 438.485028
60 515.618333
70 568.431831
80 639.706303
100 673.724088
110 676.973144
120 671.559308
130 694.295694
140 664.765652
150 638.751296
160 673.683504
170 674.329287
180 669.691392
190 638.637718
200 699.212198
300 675.841986
400 656.455187
500 714.911636
600 738.661570
700 699.990279
800 708.218566
1000 735.599016
1100 700.423479
1200 687.508367
1300 696.931102
1400 698.255900
1500 696.575458
1600 737.278906
1700 718.587847
1800 691.539112
1900 736.039940
2000 742.994853
