1 4769125
10 4958166
20 9639333
30 14984541
40 19394166
50 23851208
60 28914708
70 34698375
80 38456250
90 43448500
100 48580291
110 52942000
120 59859458
130 62778708
140 70788500
150 78093250
160 78634750
170 83169416
180 86460000
190 96958916
200 94814958
300 138324083
400 194283541
500 227209291
600 267426291
700 322986833
800 368918208
900 406839708
1000 440552708
1100 518428416
1200 591421708
1300 631228208
1400 663142625
1500 713897625
1600 726439583
1700 783727750
1800 858787125
1900 863532291
2000 895376500
