0 0
1 905437353
10 108353032
20 111057380
30 117324860
40 116047287
50 114028979
60 116365141
70 123145813
80 125057389
90 136314756
100 148428714
110 162487982
120 178688611
130 187240107
140 210600532
150 234833183
160 237500249
170 252102353
180 268780519
190 297508266
200 286036200
300 443890741
400 609333292
500 699387134
600 812279973
700 1000013888
800 1129594787
900 1251266347
1000 1359436294
1100 1570478479
1200 1745433303
1300 1865320684
1400 2004995589
1500 2153391973
1600 2170142109
1700 2365751116
1800 2602889653
1900 2581381658
2000 2691808686
